region,iso3,area_id,kp,indicator,median,lower,upper
ESA,TZA,TZA_2_1co,FSW,pse_prop,0.010860429830809985,0.004336431141085166,0.026353731310441515
ESA,TZA,TZA_2_2fw,FSW,pse_prop,0.009662484830921785,0.004491765374121964,0.01971997927705755
ESA,TZA,TZA_2_3nv,FSW,pse_prop,0.011507292071898621,0.00530789188175374,0.024103862333705043
ESA,TZA,TZA_2_4dh,FSW,pse_prop,0.011618010167936597,0.004997351805541592,0.025829002227917293
ESA,TZA,TZA_2_5ua,FSW,pse_prop,0.011773796675841382,0.00513495747848517,0.026702837021056813
ESA,TZA,TZA_2_6aa,FSW,pse_prop,0.011466732050943793,0.004963316264164614,0.027699442820744637
ESA,TZA,TZA_2_7zj,FSW,pse_prop,0.012176395508403885,0.00421327323352589,0.034604751217920886
ESA,TZA,TZA_2_1co,MSM,pse_prop,0.0062068294792683495,0.002429409700761598,0.015031289666586995
ESA,TZA,TZA_2_2fw,MSM,pse_prop,0.007573371695212015,0.003325015096626962,0.014726638714479844
ESA,TZA,TZA_2_3nv,MSM,pse_prop,0.007207146068135047,0.0033236724444571826,0.015565171227969327
ESA,TZA,TZA_2_4dh,MSM,pse_prop,0.006792354916868129,0.0029201462245518985,0.01485275392529324
ESA,TZA,TZA_2_5ua,MSM,pse_prop,0.006784128490660374,0.00270400941711399,0.014623850902657854
ESA,TZA,TZA_2_6aa,MSM,pse_prop,0.006829687087243871,0.0028909466048578575,0.016192227626840524
ESA,TZA,TZA_2_7zj,MSM,pse_prop,0.009772885686698408,0.0042122853051322585,0.02281591102223964
ESA,TZA,TZA_2_1co,PWID,pse_prop,0.0020798354069090077,7.069728008673486e-4,0.006144301496762087
ESA,TZA,TZA_2_2fw,PWID,pse_prop,0.002351490947019878,9.845512543853144e-4,0.005543787210643987
ESA,TZA,TZA_2_3nv,PWID,pse_prop,0.002261947597326849,9.26903852800913e-4,0.005607407595740732
ESA,TZA,TZA_2_4dh,PWID,pse_prop,0.0025384004981847358,8.930999107499216e-4,0.006593765583809582
ESA,TZA,TZA_2_5ua,PWID,pse_prop,0.001967330093941411,7.507876280845532e-4,0.005169054940694992
ESA,TZA,TZA_2_6aa,PWID,pse_prop,0.0023012898772149107,7.582556248737028e-4,0.006700787699574324
ESA,TZA,TZA_2_7zj,PWID,pse_prop,0.005401443605057824,0.001899258099702362,0.017705983982583686
ESA,TZA,TZA_2_1co,TGW,pse_prop,9.895766440436386e-4,2.0775945250293314e-4,0.005137265055407026
ESA,TZA,TZA_2_2fw,TGW,pse_prop,0.0013002021185920584,2.574840393905699e-4,0.006986859578112867
ESA,TZA,TZA_2_3nv,TGW,pse_prop,0.0010194689135837535,2.3942717876474482e-4,0.004431339166628381
ESA,TZA,TZA_2_4dh,TGW,pse_prop,0.0010871133817732903,2.2441583711229905e-4,0.005391875919793639
ESA,TZA,TZA_2_5ua,TGW,pse_prop,0.00111768917806573,2.543637545218013e-4,0.005572581998850816
ESA,TZA,TZA_2_6aa,TGW,pse_prop,0.00104293361725106,2.1849689093772186e-4,0.005752134312694619
ESA,TZA,TZA_2_7zj,TGW,pse_prop,0.0014696650282628207,2.1249658711851614e-4,0.010310627661000644
