iso3,year,fsw-pse,fsw-prev,fsw-new_inf,msm-pse,msm-prev,msm-new_inf,pwid-pse,pwid-prev,pwid-new_inf
AFG,2024,65712,0.00563063063063063,110,240107,0.0067636512055042125,198,48086,0.06848147069833216,644
AGO,2024,167517,0.048854743100700225,949,84577,0.02187355900540336,91,26577,0.21642773826993264,718
ARG,2024,66325,0.026143987938183188,93,221371,0.14405680960920808,1400,4264,0.22584427767354598,47
BDI,2024,43296,0.1278640059127864,208,25015,0.027663401958824704,5,8416,0.0659458174904943,24
BEN,2024,40627,0.07443325867034238,137,26012,0.07054436413962786,42,10560,0.0375,21
BFA,2024,41681,0.05091048679254336,107,34714,0.09998847727141787,216,16260,0.006273062730627306,3.321845
BLZ,2024,4064,0.006889763779527559,2,4750,0.11242105263157895,27,498,0.09437751004016064,5.639291
BOL,2024,39950,0.004030037546933667,7,132785,0.15496479271001995,1130,13592,0.07806062389640965,94
BRA,2024,1444787,0.026441959956727185,2360,2309517,0.18681741680186809,14148,230912,0.1792977411308204,4349
BTN,2024,680,0.04852941176470588,8,6196,0.024047772756617174,7,1146,0.02356020942408377,5.194198
BWA,2024,13762,0.23790146780991134,155,6458,0.06286776091669248,2,2016,0.10813492063492064,6.659885
CAF,2024,26109,0.05063388103719024,93,7333,0.0770489567707623,20,3064,0.0835509138381201,22
CHN,2024,999021,0.003754675827635255,100,4652024,0.05597692531250913,5280,807175,0.02660141852758076,1534
CIV,2024,75499,0.05867627385793189,234,42688,0.07878092203898052,85,24890,0.0366412213740458,57
CMR,2024,132654,0.08765661043014157,400,66956,0.09101499492203835,86,20766,0.12289319079264181,104
COD,2024,355082,0.04337589627184707,1079,167950,0.07078892527537958,284,63718,0.0346683825606579,155
COG,2024,25274,0.06809369312336788,203,12494,0.409396510324956,381,4515,0.16279069767441862,97
COL,2024,455802,0.0032492178621418948,75,825392,0.14889894740923101,4779,50768,0.07260479041916168,323
COM,2024,3170,0.0028391167192429023,0.883213,1860,0.013978494623655914,0.463374,565,0.023008849557522124,1.149858
CPV,2024,1721,0.05345729227193492,9,2709,0.13953488372093023,23,5010,0.05249500998003992,25
CRI,2024,18702,0.02406159769008662,55,63922,0.17892118519445574,791,5514,0.16702937976060936,113
CUB,2024,72086,0.00794883888688511,39,103030,0.057798699407939434,390,9934,0.15019126233138716,121
DJI,2024,3208,0.034912718204488775,10,5806,0.027902170168790905,8,665,0.045112781954887216,3.3754939999999998
DOM,2024,102111,0.04625358678301065,244,154663,0.059969094094903114,321,4331,0.129069498960979,44
DZA,2024,98484,0.045946549693351206,622,223456,0.028882643562938567,441,24722,0.01747431437585956,57
ECU,2024,68305,0.009208696288705073,26,132630,0.09785116489482018,195,20307,0.10375732506032402,108
EGY,2024,224748,0.012026803353088793,532,669589,0.03623864788698739,1822,279916,0.03183097786478801,1341
