iso3,year,fsw-pse,fsw-prev,fsw-new_inf,msm-pse,msm-prev,msm-new_inf,pwid-pse,pwid-prev,pwid-new_inf
AGO,2023,158501,0.03731206743175122,447,78410,0.04188241295753093,148,25156,0.1216012084592145,381
BDI,2023,40040,0.07992007992007992,219,20143,0.047361366231445164,13,7569,0.037785704848725066,13
BEN,2023,37105,0.0584018326371109,116,20886,0.07995786651345399,28,9604,0.018638067471886715,7.79921
BFA,2023,64791,0.04411106480838388,220,35514,0.021400011263163824,15,16578,0.011641935094703824,11
BWA,2023,14182,0.3195600056409533,402,6084,0.10765943458251151,4,2094,0.15902578796561603,17
CAF,2023,26238,0.122341641893437,365,8105,0.05626156693399136,12,3489,0.08483806248208656,26
CIV,2023,68003,0.04236577798038322,206,33520,0.06578162291169451,55,22428,0.028847868735509184,48
CMR,2023,129458,0.08856154119482766,294,67556,0.09452898336195156,34,20892,0.08122726402450699,42
COD,2023,329385,0.0343154667030982,285,161072,0.054311115525975964,83,59100,0.029712351945854483,40
COG,2023,24503,0.06995061829163776,229,8197,0.4067341710381847,306,4335,0.08765859284890427,55
ETH,2023,392871,0.11192223401574562,4758,215653,0.0448637394332562,522,78285,0.03907517404355879,295
GAB,2023,11985,0.25022945348352105,373,6199,0.029520890466204226,8,2113,0.023663038334122102,5.5918790000000005
GHA,2023,34185,0.0877577885037297,364,41526,0.37749843471559985,1239,28050,0.06962566844919786,240
GIN,2023,36456,0.047564186965108626,181,16161,0.09906565187797785,56,9861,0.22310110536456748,126
GMB,2023,6667,0.13139343032848358,119,3421,0.2306343174510377,62,2202,0.05812897366030881,20
GNB,2023,5758,0.22091003820771102,143,2619,0.1817487590683467,21,1743,0.05048766494549627,8.895048
GNQ,2023,7158,0.15912265996088293,149,4794,0.04839382561535253,14,1523,0.09323703217334209,17
KEN,2023,248360,0.10073280721533258,1327,88034,0.10653838289751687,166,38089,0.12436661503321168,222
LBR,2023,14591,0.11027345624014803,103,5868,0.29669393319700066,55,4349,0.09082547712117728,24
LSO,2023,6974,0.38829939776312017,320,4241,0.22754067436925254,40,1394,0.18651362984218078,22
MLI,2023,42581,0.07710011507479862,350,25314,0.1230149324484475,147,16870,0.04599881446354476,95
MOZ,2023,99161,0.23911618479039137,1609,59614,0.04777401281578153,51,19543,0.2852683825410633,329
MWI,2023,70786,0.3134094312434662,2718,30524,0.09323810771851658,42,11176,0.0898353614889048,64
NAM,2023,12526,0.15256266964713397,95,5865,0.06530264279624894,3,1709,0.14335868929198362,8.973323
NER,2023,61346,0.03269976852606527,193,27768,0.055387496398732354,45,15665,0.027322055537823173,50
NGA,2023,879731,0.08466565347816549,1195,357934,0.23364642643615863,631,187459,0.021791431726404173,43
RWA,2023,42158,0.18897955310973005,656,23417,0.06379980356151514,25,8695,0.06693502012650948,27
SEN,2023,36937,0.04158431924628422,118,26684,0.15649827612052167,114,13439,0.048738745442369225,53
SLE,2023,24559,0.08620057819943809,139,13995,0.05487674169346195,24,8549,0.06468592817873435,33
SSD,2023,48111,0.1307809024963106,738,15349,0.08072187113166981,90,6293,0.04290481487366916,29
SWZ,2023,4652,0.45851246775580395,149,3073,0.22095671981776766,5,763,0.1965923984272608,4.482352
TCD,2023,90523,0.10691205549970725,1146,30016,0.03684701492537314,57,11992,0.06412608405603736,80
TGO,2023,25122,0.05067271714035507,82,13803,0.07650510758530754,17,7440,0.038172043010752686,20
TZA,2023,193387,0.1266010641873549,2182,105990,0.15980752901217096,495,40949,0.15717111528975067,589
UGA,2023,151054,0.19356653911846095,3283,75868,0.0860178204249486,247,29589,0.2797661293048092,876
ZAF,2023,189207,0.40268594713726236,7868,98670,0.2909090909090909,417,43795,0.18958785249457702,593
ZMB,2023,78453,0.26042343823690617,1392,39894,0.13706321752644507,112,13660,0.13316251830161055,68
ZWE,2023,56354,0.32436029385669163,1419,25980,0.15119322555812162,55,9558,0.11278510148566646,40
