iso3,area_id,kp,median,lower,upper,indicator
GMB,GMB_1_1ng,FSW,0.12303853130544302,0.05551968461711479,0.23295750099402024,prevalence
GMB,GMB_1_2xt,FSW,0.12367433293941647,0.05444488010382357,0.2471792539047787,prevalence
GMB,GMB_1_3ic,FSW,0.11662427778800236,0.05288830528546678,0.2386398260443503,prevalence
GMB,GMB_1_4ui,FSW,0.11406499228312073,0.04343570768140888,0.2381371792262948,prevalence
GMB,GMB_1_5mz,FSW,0.12283348195788872,0.05960619266769545,0.22438866927086715,prevalence
GMB,GMB_1_1ng,PWID,0.05078541593411714,0.01195698670040086,0.20023088654590968,prevalence
GMB,GMB_1_2xt,PWID,0.05295080528559904,0.01147366642382386,0.21915179171341168,prevalence
GMB,GMB_1_3ic,PWID,0.05052879325294011,0.01209996052200433,0.1901623037559604,prevalence
GMB,GMB_1_4ui,PWID,0.04890784023808872,0.01097964851109839,0.19655879092634967,prevalence
GMB,GMB_1_5mz,PWID,0.05086246850578564,0.01167322383392489,0.20310983939364835,prevalence
GMB,GMB_1_1ng,MSM,0.1698747601052196,0.07195514525824663,0.3564887066985389,prevalence
GMB,GMB_1_2xt,MSM,0.17884454598694963,0.07682724373627131,0.37699667783427554,prevalence
GMB,GMB_1_3ic,MSM,0.1803810121689627,0.0822772794263588,0.38263565452951376,prevalence
GMB,GMB_1_4ui,MSM,0.14187335377980712,0.04656458525487475,0.366126325577501,prevalence
GMB,GMB_1_5mz,MSM,0.18044630765807992,0.11195640766801077,0.28667591199841636,prevalence
GMB,GMB_1_1ng,TGW,0.2037183091175867,0.08752860414483996,0.4210597783633745,prevalence
GMB,GMB_1_2xt,TGW,0.20893052005230608,0.09207271237684576,0.4306774332966722,prevalence
GMB,GMB_1_3ic,TGW,0.21754313063346695,0.10013854511958224,0.4417475877704974,prevalence
GMB,GMB_1_4ui,TGW,0.1733922119803089,0.05862297649839285,0.4341621021361504,prevalence
GMB,GMB_1_5mz,TGW,0.21215102024941151,0.12320893893160804,0.33854916867408286,prevalence
GMB,GMB_1_1ng,FSW,0.00952638308972185,0.00220354160772091,0.04309569399891608,pse_prop
GMB,GMB_1_2xt,FSW,0.00992677458534371,0.00215928622333359,0.04594110369140996,pse_prop
GMB,GMB_1_3ic,FSW,0.01013788332185923,0.00228199895695166,0.04942816216877439,pse_prop
GMB,GMB_1_4ui,FSW,0.00977246499064514,0.00209728324286614,0.04894849660747313,pse_prop
GMB,GMB_1_5mz,FSW,0.01442158849599348,0.0038639839306324,0.06416992802845914,pse_prop
GMB,GMB_1_1ng,MSM,0.00490912219246709,0.00146286535949748,0.01730110941597555,pse_prop
GMB,GMB_1_2xt,MSM,0.00491676693633815,0.00129628232069161,0.0206487239078819,pse_prop
GMB,GMB_1_3ic,MSM,0.00518863924252841,0.00149412833838924,0.01713423592233205,pse_prop
GMB,GMB_1_4ui,MSM,0.00497841789979394,0.00150263979784093,0.0195133670407239,pse_prop
GMB,GMB_1_5mz,MSM,0.00763879524653156,0.00238943421419882,0.0288856916739283,pse_prop
GMB,GMB_1_1ng,PWID,0.00195051973974148,3.142594898803878e-4,0.01521663022763867,pse_prop
GMB,GMB_1_2xt,PWID,0.00204372803964103,2.8198937123957875e-4,0.01692400198540512,pse_prop
GMB,GMB_1_3ic,PWID,0.00207071188301966,2.973209967166038e-4,0.01560981629915302,pse_prop
GMB,GMB_1_4ui,PWID,0.00212424331332287,2.8091052708386347e-4,0.01761535081595942,pse_prop
GMB,GMB_1_5mz,PWID,0.00287861991210169,3.935475668015026e-4,0.0241130681004551,pse_prop
GMB,GMB_1_1ng,TGW,9.132686078305372e-4,6.175822716920913e-5,0.01197297061645752,pse_prop
GMB,GMB_1_2xt,TGW,9.532924275538746e-4,5.1724932565679506e-5,0.01412861457615661,pse_prop
GMB,GMB_1_3ic,TGW,9.570945188853988e-4,5.949927668346575e-5,0.01707663617346629,pse_prop
GMB,GMB_1_4ui,TGW,9.27820839371191e-4,5.562055805830037e-5,0.01820942340781353,pse_prop
GMB,GMB_1_5mz,TGW,0.00136939921821493,7.457467561038015e-5,0.02511170679849297,pse_prop
