iso3,area_id,indicator,lower,median,upper
NAM,NAM_1_01,pse_count,23.702221917364056,73.90394689177428,262.579654345695
NAM,NAM_1_02,pse_count,109.58886273800289,225.65904899184795,458.7301138282802
NAM,NAM_1_03,pse_count,33.727142137284446,77.03127694404087,175.39716358230135
NAM,NAM_1_04,pse_count,48.028493219310526,114.80782603440699,249.9550691867987
NAM,NAM_1_05,pse_count,22.42392548774145,49.178147138642174,110.70038174541975
NAM,NAM_1_06,pse_count,240.98339346222724,503.2935361067095,1049.3583200076703
NAM,NAM_1_07,pse_count,30.934843892734385,64.2069020799915,141.00457285074418
NAM,NAM_1_08,pse_count,51.68511625184801,133.3756383706189,341.2368560611464
NAM,NAM_1_09,pse_count,23.273894622836988,51.040641114040604,122.08548351153885
NAM,NAM_1_10,pse_count,42.22604990906205,133.71974745152608,320.22749613685687
NAM,NAM_1_11,pse_count,69.76790263125994,154.3913248645771,342.5146168387245
NAM,NAM_1_12,pse_count,52.895092380767,120.25430794773682,252.12275769652223
NAM,NAM_1_13,pse_count,68.97189171514103,127.77978289600874,228.72647272324426
NAM,NAM_1_14,pse_count,20.543704309061333,71.0766986737083,250.81379532346514
NAM,NAM_1_01,kplhiv,4.3216740679827765,18.792332723719696,87.29958185298793
NAM,NAM_1_02,kplhiv,25.541477744152225,62.951720286814535,151.3079672763223
NAM,NAM_1_03,kplhiv,6.557746936283505,18.564442258554827,51.994414566618204
NAM,NAM_1_04,kplhiv,13.711520304394607,38.40432447478822,104.50992353936616
NAM,NAM_1_05,kplhiv,5.481367796377231,15.317292339799657,40.96702331494413
NAM,NAM_1_06,kplhiv,45.92132919907252,117.43081933323627,292.67079904293837
NAM,NAM_1_07,kplhiv,6.158418240281331,14.781137686027975,38.227668565104445
NAM,NAM_1_08,kplhiv,15.899766889900834,47.941190998214864,140.12089173289206
NAM,NAM_1_09,kplhiv,4.416282492043194,11.887289919676018,32.65656482565477
NAM,NAM_1_10,kplhiv,13.601611892490205,48.085783535774084,141.87659539832595
NAM,NAM_1_11,kplhiv,19.321323250636695,49.40465014422463,136.5202105049818
NAM,NAM_1_12,kplhiv,16.88959176362382,42.856934654389526,105.4286577502758
NAM,NAM_1_13,kplhiv,16.42932876761242,33.80234636488068,72.66001585505447
NAM,NAM_1_14,kplhiv,6.696647819963873,29.035711380417865,121.42517348424744
NAM,NAM_1_01,kpart,2.42456493029254,11.65787327271512,57.423585799741936
NAM,NAM_1_02,kpart,12.075667456418929,31.508589806690438,78.86480654932443
NAM,NAM_1_03,kpart,3.422666990592619,10.395507783678482,30.86260041089748
NAM,NAM_1_04,kpart,10.50140800385783,30.856696937624903,86.78124665136696
NAM,NAM_1_05,kpart,4.11457262352447,11.882141161979252,32.94402655964478
NAM,NAM_1_06,kpart,29.239938506441646,76.8275690103002,203.123261655307
NAM,NAM_1_07,kpart,4.06601961459126,10.248071549901622,27.24095781462626
NAM,NAM_1_08,kpart,11.939312224091136,38.25378542450768,115.29716932291105
NAM,NAM_1_09,kpart,2.73038332483165,8.151928284443327,23.278484061087298
NAM,NAM_1_10,kpart,9.939730350220799,38.10916608287458,115.40380378433863
NAM,NAM_1_11,kpart,13.932561038168688,39.29054354080381,109.95668644777014
NAM,NAM_1_12,kpart,12.517250089559425,34.357063223696684,85.15676668245786
NAM,NAM_1_13,kpart,9.925970783007015,23.835959851337694,51.62841006208444
NAM,NAM_1_14,kpart,4.850464077435473,23.29362546242784,101.6882203913681
NAM,NAM_1_01,pse,5.363903766371803e-4,0.0016521099300260385,0.00588141999319421
NAM,NAM_1_02,pse,8.422809012116642e-4,0.0017356955728712487,0.0035203363173142016
NAM,NAM_1_03,pse,7.7719724045289e-4,0.0017127808045219186,0.0038133577978657664
NAM,NAM_1_04,pse,7.574279057402115e-4,0.00174432869532471,0.00387988360792721
NAM,NAM_1_05,pse,8.497876383241664e-4,0.0017716454807733249,0.003763117922512795
NAM,NAM_1_06,pse,8.05983803706493e-4,0.0016855108802148995,0.0035328609626425417
NAM,NAM_1_07,pse,9.057583305313794e-4,0.0017146395727772891,0.003585383881007315
NAM,NAM_1_08,pse,7.660776782853457e-4,0.0017381870602227643,0.004085543724922174
NAM,NAM_1_09,pse,8.169496973810864e-4,0.001706207006525294,0.003987573910556387
NAM,NAM_1_10,pse,7.32521794658646e-4,0.0017535489281060295,0.004043463871171157
NAM,NAM_1_11,pse,8.171741863011972e-4,0.0017415720122160934,0.0038239207177675296
NAM,NAM_1_12,pse,8.976545839103081e-4,0.0017364720877518806,0.003572126006744076
NAM,NAM_1_13,pse,9.634024925777985e-4,0.0017088098332397866,0.0031388822618735775
NAM,NAM_1_14,pse,5.222311203318117e-4,0.0017020215251051809,0.005989190812253745
NAM,NAM_1_01,prev,0.10177415920914233,0.26420793561588973,0.5625644179434004
NAM,NAM_1_02,prev,0.1527241555879946,0.27765481800212244,0.4534987574004928
NAM,NAM_1_03,prev,0.12601741690225468,0.24841993629217385,0.4548969597575815
NAM,NAM_1_04,prev,0.17495354849531503,0.3439376233282653,0.5642468527372592
NAM,NAM_1_05,prev,0.17493409103579804,0.3117619285318922,0.5066100696525813
NAM,NAM_1_06,prev,0.1203302524447025,0.23217449458356168,0.40467137829620337
NAM,NAM_1_07,prev,0.13054492701475778,0.2310470421700076,0.38002482186390635
NAM,NAM_1_08,prev,0.19621990898310393,0.3652595940936798,0.5724562055959794
NAM,NAM_1_09,prev,0.12182251970491989,0.23676844229652572,0.41415670967893664
NAM,NAM_1_10,prev,0.20474223280589657,0.3607971555502181,0.5773624345439311
