iso3,sex,lor_15to29,lor_30to49,srb_group
KEN,female,-0.1318150595002613,0.633564147922382,nosex12m_id
KEN,female,0.3094372793642335,-0.45417117534740103,sexcohab_id
KEN,female,0.17699746673156544,0.2909185383302075,sexnonreg_id
KEN,female,NA,NA,sexpaid12m_id
KEN,male,-0.24497341548669874,-0.06637222922472147,nosex12m_id
KEN,male,0.04278969921889655,-0.30615268615564883,sexcohab_id
KEN,male,-0.026554798113059268,0.6002359470827713,sexnonreg_id
KEN,male,0.7168598609997776,1.2448145282255545,sexpaid12m_id
