region,iso3,area_id,kp,indicator,median,lower,upper
ESA,KEN,KEN_1_1,FSW,pse_prop,0.016750910223746536,0.008575300791396089,0.0339594654282344
ESA,KEN,KEN_1_2,FSW,pse_prop,0.012489158016566469,0.004869094691055454,0.033260445768847166
ESA,KEN,KEN_1_3,FSW,pse_prop,0.01199529621984062,0.005657122430429421,0.026087626107130734
ESA,KEN,KEN_1_4,FSW,pse_prop,0.00939169411323185,0.0046267642765296015,0.020145356988363082
ESA,KEN,KEN_1_5,FSW,pse_prop,0.013259657527916843,0.006417785711366058,0.027270881259659225
ESA,KEN,KEN_1_6,FSW,pse_prop,0.015172390630365594,0.007281502563261969,0.03252575420974322
ESA,KEN,KEN_1_7,FSW,pse_prop,0.01496471571149271,0.007496533629183143,0.033442162545645436
ESA,KEN,KEN_1_8,FSW,pse_prop,0.021298917460178056,0.011241075090131064,0.04262099534174678
ESA,KEN,KEN_1_1,MSM,pse_prop,0.006446154411716922,0.002993748379059257,0.013572329351050221
ESA,KEN,KEN_1_2,MSM,pse_prop,0.00529743955857341,0.001791271813028088,0.013911226403772913
ESA,KEN,KEN_1_3,MSM,pse_prop,0.0045265723688250985,0.0020974711818227986,0.009962345614073801
ESA,KEN,KEN_1_4,MSM,pse_prop,0.003289158236392242,0.0015599098856820452,0.007145310018103121
ESA,KEN,KEN_1_5,MSM,pse_prop,0.004263032514435654,0.001969857707420562,0.008649184719174051
ESA,KEN,KEN_1_6,MSM,pse_prop,0.008567706642097503,0.003865317178777169,0.018924967697007713
ESA,KEN,KEN_1_7,MSM,pse_prop,0.011383428962380822,0.005076252936324499,0.02781435619679746
ESA,KEN,KEN_1_8,MSM,pse_prop,0.004595989116157774,0.0021710255904589166,0.009691181595796362
ESA,KEN,KEN_1_1,PWID,pse_prop,0.00443525283678141,0.0018356611121291872,0.009703593447578955
ESA,KEN,KEN_1_2,PWID,pse_prop,0.003189175419437147,8.23280265010225e-4,0.011610498584345859
ESA,KEN,KEN_1_3,PWID,pse_prop,0.002920487981471063,0.0011767703102247564,0.006314698372896988
ESA,KEN,KEN_1_4,PWID,pse_prop,0.0026862705717236885,0.0011156437813340627,0.006088162094555205
ESA,KEN,KEN_1_5,PWID,pse_prop,0.0014528992488728344,5.297528266218948e-4,0.003504561789144546
ESA,KEN,KEN_1_6,PWID,pse_prop,0.0038958489418285296,0.0014250940962516954,0.010242478199301106
ESA,KEN,KEN_1_7,PWID,pse_prop,0.0027528855083604827,0.001136938630084423,0.006355447478788135
ESA,KEN,KEN_1_8,PWID,pse_prop,0.003927337731322627,0.0019284810346554332,0.008659005121367386
ESA,KEN,KEN_1_1,TGW,pse_prop,0.0011389498533618944,2.540731768819426e-4,0.00521507079458885
ESA,KEN,KEN_1_2,TGW,pse_prop,7.732904244721823e-4,1.0040094050922618e-4,0.0050157532106652235
ESA,KEN,KEN_1_3,TGW,pse_prop,5.721867760378019e-4,1.1235391465853592e-4,0.002483930799429925
ESA,KEN,KEN_1_4,TGW,pse_prop,2.820682060218706e-4,4.635206973442463e-5,0.0014584558469079036
ESA,KEN,KEN_1_5,TGW,pse_prop,6.642898066873185e-4,1.552981830222863e-4,0.002779121121281369
ESA,KEN,KEN_1_6,TGW,pse_prop,0.0010116492672059912,2.2057117494853987e-4,0.005307628801315331
ESA,KEN,KEN_1_7,TGW,pse_prop,8.543540968277682e-4,1.8159308453025025e-4,0.004047893639602538
ESA,KEN,KEN_1_8,TGW,pse_prop,0.001029765469911049,2.1506158875954007e-4,0.005283256191848271
