yob,iso3,sex,lambda,skew,shape
1950,SWZ,male,0.05961477495384236,1.9012537564626286,8.080067896497338
1951,SWZ,male,0.059621888085015576,1.9012537564626286,8.080067896497338
1952,SWZ,male,0.05966670279522088,1.9012537564626286,8.080067896497338
1953,SWZ,male,0.05957069167128129,1.9012537564626286,8.080067896497338
1954,SWZ,male,0.0595845851947788,1.9012537564626286,8.080067896497338
1955,SWZ,male,0.059517884765472394,1.9012537564626286,8.080067896497338
1956,SWZ,male,0.05966578215029285,1.9012537564626286,8.080067896497338
1957,SWZ,male,0.059366310897879554,1.9012537564626286,8.080067896497338
1958,SWZ,male,0.059506735821876766,1.9012537564626286,8.080067896497338
1959,SWZ,male,0.05927583635604918,1.9012537564626286,8.080067896497338
1960,SWZ,male,0.05916493526402409,1.9012537564626286,8.080067896497338
1961,SWZ,male,0.05914094771912999,1.9012537564626286,8.080067896497338
1962,SWZ,male,0.058984163092416095,1.9012537564626286,8.080067896497338
1963,SWZ,male,0.058979407469192134,1.9012537564626286,8.080067896497338
1964,SWZ,male,0.059118164285064195,1.9012537564626286,8.080067896497338
1965,SWZ,male,0.058840089089544516,1.9012537564626286,8.080067896497338
1966,SWZ,male,0.058764756631265534,1.9012537564626286,8.080067896497338
1967,SWZ,male,0.05874435735797459,1.9012537564626286,8.080067896497338
1968,SWZ,male,0.05867881507336521,1.9012537564626286,8.080067896497338
1969,SWZ,male,0.05838523974827564,1.9012537564626286,8.080067896497338
1970,SWZ,male,0.05853074481536716,1.9012537564626286,8.080067896497338
1971,SWZ,male,0.05796726486612809,1.9012537564626286,8.080067896497338
1972,SWZ,male,0.058204122275281586,1.9012537564626286,8.080067896497338
1973,SWZ,male,0.05798496270764462,1.9012537564626286,8.080067896497338
1974,SWZ,male,0.0577975338285527,1.9012537564626286,8.080067896497338
1975,SWZ,male,0.057832460752193914,1.9012537564626286,8.080067896497338
1976,SWZ,male,0.05772467105475462,1.9012537564626286,8.080067896497338
1977,SWZ,male,0.05762798099654401,1.9012537564626286,8.080067896497338
1978,SWZ,male,0.05768300438810062,1.9012537564626286,8.080067896497338
1979,SWZ,male,0.0576420866736594,1.9012537564626286,8.080067896497338
1980,SWZ,male,0.05777756752507027,1.9012537564626286,8.080067896497338
1981,SWZ,male,0.05744288576211233,1.9012537564626286,8.080067896497338
1982,SWZ,male,0.05755258691028577,1.9012537564626286,8.080067896497338
1983,SWZ,male,0.057462640637082715,1.9012537564626286,8.080067896497338
1984,SWZ,male,0.05753311418062118,1.9012537564626286,8.080067896497338
1985,SWZ,male,0.05743326700074758,1.9012537564626286,8.080067896497338
1986,SWZ,male,0.05725505122482216,1.9012537564626286,8.080067896497338
1987,SWZ,male,0.05697302522929916,1.9012537564626286,8.080067896497338
1988,SWZ,male,0.056757190510949636,1.9012537564626286,8.080067896497338
1989,SWZ,male,0.056804030404168204,1.9012537564626286,8.080067896497338
1990,SWZ,male,0.056552986553942634,1.9012537564626286,8.080067896497338
1991,SWZ,male,0.05633516683250703,1.9012537564626286,8.080067896497338
1992,SWZ,male,0.05644390398685223,1.9012537564626286,8.080067896497338
1993,SWZ,male,0.05638528029317845,1.9012537564626286,8.080067896497338
1994,SWZ,male,0.05650352554966352,1.9012537564626286,8.080067896497338
1995,SWZ,male,0.05662174821344652,1.9012537564626286,8.080067896497338
1996,SWZ,male,0.05662708760629104,1.9012537564626286,8.080067896497338
1997,SWZ,male,0.05675659422913214,1.9012537564626286,8.080067896497338
1998,SWZ,male,0.05696814351396795,1.9012537564626286,8.080067896497338
