iso3,area_id,kp,median,lower,upper
ETH,ETH_1_10,FSW,0.19609739568668047,0.10921819072121455,0.32674347246936397
ETH,ETH_1_11,FSW,0.16849780654851637,0.10221593051231977,0.2681767980439413
ETH,ETH_1_12,FSW,0.19530230138089355,0.12395689544958606,0.2897568180627047
ETH,ETH_1_13,FSW,0.1439608917162755,0.07137655852402257,0.2546278685518477
ETH,ETH_1_14,FSW,0.2482836957389215,0.15114089022624927,0.3781990853292319
ETH,ETH_1_15,FSW,0.2620772752366538,0.15923764590556427,0.38321334627313103
ETH,ETH_1_16,FSW,0.24776349897452893,0.13027630737317247,0.40960612327945106
ETH,ETH_1_17,FSW,0.1278049010020259,0.08319146245638033,0.1935693177957681
ETH,ETH_1_22pj,FSW,0.09688542629876097,0.0549899780981647,0.1695556049196923
ETH,ETH_1_23dl,FSW,0.11174470368135211,0.06556192749211162,0.1919858894685695
ETH,ETH_1_19,FSW,0.05853969005369687,0.02954262357684282,0.11669335431555608
ETH,ETH_1_20,FSW,0.2139555412074774,0.11607473873283937,0.35563100257279406
ETH,ETH_1_21xz,FSW,0.13655911950088193,0.07776841636972139,0.2394415851091596
ETH,ETH_1_10,PWID,0.18792277337172567,0.08376471347515603,0.3638429891576276
ETH,ETH_1_11,PWID,0.14875235194143183,0.05369340696261066,0.3639422166076229
ETH,ETH_1_12,PWID,0.1577478181637859,0.054903404895334094,0.36629549597531424
ETH,ETH_1_13,PWID,0.1443369474940082,0.05221924620951181,0.35380551726273063
ETH,ETH_1_14,PWID,0.20065952757797034,0.0740162115648273,0.44250446725914955
ETH,ETH_1_15,PWID,0.20935693011066608,0.09361239609788222,0.4193564468221258
ETH,ETH_1_16,PWID,0.19252758231286146,0.061615194119368055,0.46213754731297035
ETH,ETH_1_17,PWID,0.138225685400697,0.05842494048274622,0.3042618172816263
ETH,ETH_1_22pj,PWID,0.12397919462762783,0.047185498264611644,0.311357382828622
ETH,ETH_1_23dl,PWID,0.13642231728708562,0.05308874150350262,0.31541071406528826
ETH,ETH_1_19,PWID,0.10628460177940806,0.03098585981968983,0.30474130313466796
ETH,ETH_1_20,PWID,0.1655168627867667,0.05961436289585086,0.3885187738028272
ETH,ETH_1_21xz,PWID,0.14446280497165598,0.05215637420151882,0.3610743215514834
ETH,ETH_1_10,MSM,0.11949278114798677,0.017811191698280153,0.5044616728397443
ETH,ETH_1_11,MSM,0.05044819493763544,0.010472026776358492,0.19351729232262904
ETH,ETH_1_12,MSM,0.059876494697204255,0.012016908307784195,0.20915587740700026
ETH,ETH_1_13,MSM,0.04629266399112034,0.009492373202774934,0.18974065122521286
ETH,ETH_1_14,MSM,0.10700706215633846,0.023151027247379802,0.34739251504422436
ETH,ETH_1_15,MSM,0.11583998804851807,0.034189627389090926,0.3356496264477595
ETH,ETH_1_16,MSM,0.09636614765175737,0.014036482101652767,0.43073213918274794
ETH,ETH_1_17,MSM,0.043605414937435305,0.012667437514104193,0.14446505655142408
ETH,ETH_1_22pj,MSM,0.03364332018063874,0.009568780386481323,0.12021301926609473
ETH,ETH_1_23dl,MSM,0.04111614908328253,0.01195240224228644,0.1396934577730887
ETH,ETH_1_19,MSM,0.021756345488686546,0.004959348359960249,0.09303520828808998
ETH,ETH_1_20,MSM,0.06498597089929675,0.013232230625160695,0.2785792455321166
ETH,ETH_1_21xz,MSM,0.0504878076880104,0.009211990875720895,0.21053681570864063
ETH,ETH_1_10,TGW,0.19713963265076404,0.03147801845062024,0.6767877622135834
ETH,ETH_1_11,TGW,0.10988768044286672,0.02209718335533277,0.40915815765109403
ETH,ETH_1_12,TGW,0.11839926588449666,0.02372941688141291,0.39986666066015075
ETH,ETH_1_13,TGW,0.09957413862457669,0.018689407137100156,0.375993264592033
ETH,ETH_1_14,TGW,0.18754438667295228,0.04027886858292176,0.5150729543798718
ETH,ETH_1_15,TGW,0.18228973878886678,0.05226944243827779,0.48980190278675984
ETH,ETH_1_16,TGW,0.18215333647226142,0.02662393098763218,0.6372251283247445
ETH,ETH_1_17,TGW,0.09316267835518131,0.023939368933804595,0.3222528493667143
ETH,ETH_1_22pj,TGW,0.07662905697072223,0.016832377885464215,0.274514185813189
ETH,ETH_1_23dl,TGW,0.0891814627172797,0.021038063969116748,0.30721980697667006
ETH,ETH_1_19,TGW,0.05631448487725559,0.010418194661806787,0.28118926930484267
ETH,ETH_1_20,TGW,0.12922299844810395,0.023857157368469138,0.47621392837779664
ETH,ETH_1_21xz,TGW,0.10806306374438894,0.01949096387247379,0.3961321925134765
