iso3,area_id,kp,median,lower,upper,indicator
LBR,LBR_1_1iz,FSW,0.07769849446849891,0.0289710948146176,0.17816118993336813,prevalence
LBR,LBR_1_2eh,FSW,0.06652900737682405,0.02743002666124089,0.1445038788223144,prevalence
LBR,LBR_1_3rv,FSW,0.06804299186036292,0.02552614053063589,0.14936612698767687,prevalence
LBR,LBR_1_4ki,FSW,0.07292632657364848,0.02803901722518126,0.16473518160351616,prevalence
LBR,LBR_1_5re,FSW,0.07228447634847862,0.02493232383848427,0.17112308387112554,prevalence
LBR,LBR_1_6ij,FSW,0.0721153711544974,0.02916176721753359,0.1642643053233697,prevalence
LBR,LBR_1_7sb,FSW,0.07283153863425113,0.02422535796541123,0.1961883802741689,prevalence
LBR,LBR_1_8sx,FSW,0.06827307291954435,0.02654017862915511,0.16015559356569847,prevalence
LBR,LBR_1_9no,FSW,0.07534269263266082,0.02621144835414299,0.180982326753255,prevalence
LBR,LBR_1_10lr,FSW,0.07731683211928853,0.02795837552205296,0.1930332280041772,prevalence
LBR,LBR_1_11dp,FSW,0.08628416614852912,0.03112350070483746,0.21565331127870788,prevalence
LBR,LBR_1_12re,FSW,0.07086570977771159,0.02866340163017671,0.14881072540635745,prevalence
LBR,LBR_1_13ds,FSW,0.0696231178188543,0.0273096548984516,0.16973898613798383,prevalence
LBR,LBR_1_14uu,FSW,0.0670808348528687,0.02556002332016602,0.1613478733110631,prevalence
LBR,LBR_1_15qv,FSW,0.06454910161652988,0.02383447881070264,0.1642382444792377,prevalence
LBR,LBR_1_1iz,PWID,0.04019334841453624,0.01279467391914349,0.12048384129248776,prevalence
LBR,LBR_1_2eh,PWID,0.03747549188883038,0.01250749348002223,0.11097275392489908,prevalence
LBR,LBR_1_3rv,PWID,0.03668284049405393,0.01157568850541988,0.11069994565328845,prevalence
LBR,LBR_1_4ki,PWID,0.04139675753929682,0.01294856365531357,0.11800066290964364,prevalence
LBR,LBR_1_5re,PWID,0.03696032069998249,0.01197197151481714,0.11338983168678014,prevalence
LBR,LBR_1_6ij,PWID,0.03772803731296629,0.01241021638927381,0.11729271782284643,prevalence
LBR,LBR_1_7sb,PWID,0.03896808363987359,0.0094104250836489,0.13355398309976718,prevalence
LBR,LBR_1_8sx,PWID,0.03679144724654411,0.01224367702970669,0.11032035036699334,prevalence
LBR,LBR_1_9no,PWID,0.04042716265842104,0.01198474760666534,0.12966445128466125,prevalence
LBR,LBR_1_10lr,PWID,0.04072588233358672,0.0103087515908091,0.13568110381591728,prevalence
LBR,LBR_1_11dp,PWID,0.04475040832678754,0.0141557706004232,0.153177877118229,prevalence
LBR,LBR_1_12re,PWID,0.04007836194114973,0.0130645829255532,0.11027765332863858,prevalence
LBR,LBR_1_13ds,PWID,0.03844545635699,0.01089919769402956,0.1243008620662521,prevalence
LBR,LBR_1_14uu,PWID,0.0363469078526986,0.01130807238112414,0.1125299953402416,prevalence
LBR,LBR_1_15qv,PWID,0.03619235247745824,0.01014793245254539,0.11554067032777966,prevalence
LBR,LBR_1_1iz,MSM,0.05528210029833795,0.01490469850704822,0.17065447547216137,prevalence
LBR,LBR_1_2eh,MSM,0.05154285575044171,0.01800144847616947,0.1323904972277747,prevalence
LBR,LBR_1_3rv,MSM,0.04290423017234398,0.01356244727284786,0.12692057675333154,prevalence
LBR,LBR_1_4ki,MSM,0.05857377636163984,0.017467111529054,0.2009122865652503,prevalence
LBR,LBR_1_5re,MSM,0.04154348434073054,0.01254740159347911,0.1315875970146844,prevalence
LBR,LBR_1_6ij,MSM,0.05807609130992434,0.01587444025976531,0.15788733904783858,prevalence
LBR,LBR_1_7sb,MSM,0.05543103706092021,0.01122600415236272,0.2182785221407763,prevalence
LBR,LBR_1_8sx,MSM,0.04624622889368746,0.01508997851555046,0.143128929853685,prevalence
LBR,LBR_1_9no,MSM,0.06062810975890897,0.01477211632082289,0.19592011990374808,prevalence
LBR,LBR_1_10lr,MSM,0.0628926316214938,0.01236039104550681,0.21811674140454332,prevalence
LBR,LBR_1_11dp,MSM,0.07634130853956932,0.01663876190656163,0.25299149558335177,prevalence
LBR,LBR_1_12re,MSM,0.05802780154660153,0.01999829036675164,0.15283074885240333,prevalence
LBR,LBR_1_13ds,MSM,0.05338921106160246,0.01328021921320462,0.1765129561039255,prevalence
LBR,LBR_1_14uu,MSM,0.04812846576969274,0.01275256653586561,0.1717144326642023,prevalence
LBR,LBR_1_15qv,MSM,0.04866096347593271,0.01204116120408938,0.18165111726004432,prevalence
LBR,LBR_1_1iz,TGW,0.07783481200279523,0.0218565194509871,0.22790848375225867,prevalence
LBR,LBR_1_2eh,TGW,0.0715456312897398,0.02209755525338319,0.18434936800455717,prevalence
LBR,LBR_1_3rv,TGW,0.06582348153458623,0.01903003715253573,0.19376665524677636,prevalence
LBR,LBR_1_4ki,TGW,0.07463489682925159,0.0222404280342828,0.24409942093097495,prevalence
LBR,LBR_1_5re,TGW,0.06524231866110122,0.01764799537240048,0.1936988405575952,prevalence
LBR,LBR_1_6ij,TGW,0.0804035467911951,0.02403786005544353,0.21196904489668203,prevalence
LBR,LBR_1_7sb,TGW,0.0782685547784265,0.01603341242202907,0.28841500904866624,prevalence
LBR,LBR_1_8sx,TGW,0.07028387014364688,0.02334292947639249,0.2059367681524212,prevalence
LBR,LBR_1_9no,TGW,0.08073850463568315,0.02161545532929104,0.2583403325112014,prevalence
LBR,LBR_1_10lr,TGW,0.08548559968581489,0.01742645115590806,0.28901537507035346,prevalence
