iso3,sex,lor_15to29,lor_30to49,srb_group
RWA,female,-0.23521519521300105,0.41281961010194784,nosex12m_id
RWA,female,0.21198207387804943,-0.38304234897372114,sexcohab_id
RWA,female,0.8271938891657085,0.6134494973589235,sexnonreg_id
RWA,female,NA,NA,sexpaid12m_id
RWA,male,-0.11479150016862158,-0.15330316969302912,nosex12m_id
RWA,male,-0.3957593326048468,-0.14456398999778566,sexcohab_id
RWA,male,0.25772065201203365,0.3858927597718625,sexnonreg_id
RWA,male,0.911246676110489,1.393985256929392,sexpaid12m_id
