yob,ISO_A3,sex,lambda,skew,shape
1950,ZMB,male,0.05722808217149762,1.0851298135452234,8.457093617325448
1951,ZMB,male,0.05731129184327384,1.0851298135452234,8.457093617325448
1952,ZMB,male,0.0574973840574806,1.0851298135452234,8.457093617325448
1953,ZMB,male,0.057524014402199175,1.0851298135452234,8.457093617325448
1954,ZMB,male,0.05767091145099591,1.0851298135452234,8.457093617325448
1955,ZMB,male,0.05769342826593066,1.0851298135452234,8.457093617325448
1956,ZMB,male,0.05800140235589361,1.0851298135452234,8.457093617325448
1957,ZMB,male,0.05786385631546885,1.0851298135452234,8.457093617325448
1958,ZMB,male,0.05811051006705957,1.0851298135452234,8.457093617325448
1959,ZMB,male,0.058008225568835406,1.0851298135452234,8.457093617325448
1960,ZMB,male,0.05801154274203903,1.0851298135452234,8.457093617325448
1961,ZMB,male,0.058145622484496104,1.0851298135452234,8.457093617325448
1962,ZMB,male,0.05811325328262164,1.0851298135452234,8.457093617325448
1963,ZMB,male,0.05823688467629634,1.0851298135452234,8.457093617325448
1964,ZMB,male,0.05849346021029586,1.0851298135452234,8.457093617325448
1965,ZMB,male,0.05834447564421802,1.0851298135452234,8.457093617325448
1966,ZMB,male,0.05837662774077407,1.0851298135452234,8.457093617325448
1967,ZMB,male,0.05847374960597808,1.0851298135452234,8.457093617325448
1968,ZMB,male,0.05850732113084136,1.0851298135452234,8.457093617325448
1969,ZMB,male,0.05828174156216655,1.0851298135452234,8.457093617325448
1970,ZMB,male,0.05849780632357547,1.0851298135452234,8.457093617325448
1971,ZMB,male,0.05797584618422713,1.0851298135452234,8.457093617325448
1972,ZMB,male,0.05826067593904937,1.0851298135452234,8.457093617325448
1973,ZMB,male,0.05804326549195202,1.0851298135452234,8.457093617325448
1974,ZMB,male,0.057873165163805036,1.0851298135452234,8.457093617325448
1975,ZMB,male,0.05786357352240385,1.0851298135452234,8.457093617325448
1976,ZMB,male,0.05772589687728939,1.0851298135452234,8.457093617325448
1977,ZMB,male,0.0575626479465125,1.0851298135452234,8.457093617325448
1978,ZMB,male,0.057516322447559484,1.0851298135452234,8.457093617325448
1979,ZMB,male,0.05740850466683921,1.0851298135452234,8.457093617325448
1980,ZMB,male,0.05743689606903672,1.0851298135452234,8.457093617325448
1981,ZMB,male,0.05700783934680513,1.0851298135452234,8.457093617325448
1982,ZMB,male,0.05700762598809246,1.0851298135452234,8.457093617325448
1983,ZMB,male,0.05680366769852453,1.0851298135452234,8.457093617325448
1984,ZMB,male,0.056782222777820635,1.0851298135452234,8.457093617325448
1985,ZMB,male,0.05660556977196078,1.0851298135452234,8.457093617325448
1986,ZMB,male,0.05638467848156395,1.0851298135452234,8.457093617325448
1987,ZMB,male,0.056123027980205534,1.0851298135452234,8.457093617325448
1988,ZMB,male,0.05596543683638472,1.0851298135452234,8.457093617325448
1989,ZMB,male,0.05611203733702179,1.0851298135452234,8.457093617325448
1990,ZMB,male,0.05601185459630692,1.0851298135452234,8.457093617325448
1991,ZMB,male,0.05595412349026988,1.0851298135452234,8.457093617325448
1992,ZMB,male,0.05621302682752199,1.0851298135452234,8.457093617325448
1993,ZMB,male,0.05629215729743715,1.0851298135452234,8.457093617325448
1994,ZMB,male,0.05652138268320988,1.0851298135452234,8.457093617325448
1995,ZMB,male,0.05673189513739996,1.0851298135452234,8.457093617325448
1996,ZMB,male,0.05677999930992908,1.0851298135452234,8.457093617325448
1997,ZMB,male,0.056945584199833185,1.0851298135452234,8.457093617325448
1998,ZMB,male,0.05714568258228615,1.0851298135452234,8.457093617325448
1999,ZMB,male,0.05713523998145236,1.0851298135452234,8.457093617325448
2000,ZMB,male,0.05693690554295289,1.0851298135452234,8.457093617325448
2001,ZMB,male,0.05680806761841445,1.0851298135452234,8.457093617325448
2002,ZMB,male,0.056728315049205155,1.0851298135452234,8.457093617325448
2003,ZMB,male,0.05678145242501366,1.0851298135452234,8.457093617325448
2004,ZMB,male,0.056908813934796035,1.0851298135452234,8.457093617325448
2005,ZMB,male,0.05697035526013116,1.0851298135452234,8.457093617325448
1950,ZMB,female,0.06554494240544131,1.8584602840700948,9.382501510896084
1951,ZMB,female,0.0655206435476692,1.8584602840700948,9.382501510896084
1952,ZMB,female,0.06535213686560652,1.8584602840700948,9.382501510896084
1953,ZMB,female,0.06530016436513063,1.8584602840700948,9.382501510896084
1954,ZMB,female,0.06505269870778545,1.8584602840700948,9.382501510896084
1955,ZMB,female,0.06505359998048241,1.8584602840700948,9.382501510896084
1956,ZMB,female,0.06471808759348037,1.8584602840700948,9.382501510896084
1957,ZMB,female,0.06486859196321285,1.8584602840700948,9.382501510896084
1958,ZMB,female,0.06460488469042305,1.8584602840700948,9.382501510896084
1959,ZMB,female,0.06443744577374816,1.8584602840700948,9.382501510896084
1960,ZMB,female,0.06413048845922784,1.8584602840700948,9.382501510896084
1961,ZMB,female,0.06406840891672866,1.8584602840700948,9.382501510896084
1962,ZMB,female,0.06398358207662047,1.8584602840700948,9.382501510896084
1963,ZMB,female,0.06383291040219163,1.8584602840700948,9.382501510896084
1964,ZMB,female,0.06356843097519561,1.8584602840700948,9.382501510896084
1965,ZMB,female,0.06327310007070563,1.8584602840700948,9.382501510896084
1966,ZMB,female,0.06326782996570951,1.8584602840700948,9.382501510896084
1967,ZMB,female,0.06320168768731226,1.8584602840700948,9.382501510896084
1968,ZMB,female,0.06324948512423026,1.8584602840700948,9.382501510896084
1969,ZMB,female,0.06330662456526209,1.8584602840700948,9.382501510896084
1970,ZMB,female,0.0633260412435434,1.8584602840700948,9.382501510896084
1971,ZMB,female,0.06327124785979917,1.8584602840700948,9.382501510896084
1972,ZMB,female,0.0632194018024784,1.8584602840700948,9.382501510896084
1973,ZMB,female,0.0630952948463204,1.8584602840700948,9.382501510896084
1974,ZMB,female,0.06303380656253613,1.8584602840700948,9.382501510896084
1975,ZMB,female,0.0630499179840028,1.8584602840700948,9.382501510896084
1976,ZMB,female,0.06295079222264334,1.8584602840700948,9.382501510896084
1977,ZMB,female,0.06300099578233742,1.8584602840700948,9.382501510896084
1978,ZMB,female,0.06317719292912946,1.8584602840700948,9.382501510896084
1979,ZMB,female,0.06314690183481708,1.8584602840700948,9.382501510896084
1980,ZMB,female,0.06335264850028388,1.8584602840700948,9.382501510896084
1981,ZMB,female,0.06326557334693572,1.8584602840700948,9.382501510896084
1982,ZMB,female,0.06337716429900088,1.8584602840700948,9.382501510896084
1983,ZMB,female,0.06337542458516879,1.8584602840700948,9.382501510896084
1984,ZMB,female,0.06323341586780577,1.8584602840700948,9.382501510896084
1985,ZMB,female,0.06311967096573903,1.8584602840700948,9.382501510896084
1986,ZMB,female,0.06280233673122107,1.8584602840700948,9.382501510896084
1987,ZMB,female,0.06251063202526584,1.8584602840700948,9.382501510896084
1988,ZMB,female,0.06258434552516023,1.8584602840700948,9.382501510896084
1989,ZMB,female,0.06227328634211538,1.8584602840700948,9.382501510896084
1990,ZMB,female,0.06235631652175824,1.8584602840700948,9.382501510896084
1991,ZMB,female,0.06215535742618959,1.8584602840700948,9.382501510896084
1992,ZMB,female,0.06222508389816275,1.8584602840700948,9.382501510896084
1993,ZMB,female,0.06212735130034053,1.8584602840700948,9.382501510896084
1994,ZMB,female,0.062151505481793434,1.8584602840700948,9.382501510896084
1995,ZMB,female,0.06234836039390064,1.8584602840700948,9.382501510896084
1996,ZMB,female,0.06245564294109624,1.8584602840700948,9.382501510896084
1997,ZMB,female,0.06257649600997259,1.8584602840700948,9.382501510896084
1998,ZMB,female,0.0626211387880504,1.8584602840700948,9.382501510896084
1999,ZMB,female,0.06267466229761437,1.8584602840700948,9.382501510896084
2000,ZMB,female,0.06250043791438456,1.8584602840700948,9.382501510896084
2001,ZMB,female,0.062457378836546666,1.8584602840700948,9.382501510896084
2002,ZMB,female,0.06249396111623025,1.8584602840700948,9.382501510896084
2003,ZMB,female,0.06247369609972939,1.8584602840700948,9.382501510896084
2004,ZMB,female,0.0626510795643341,1.8584602840700948,9.382501510896084
2005,ZMB,female,0.06280522127273178,1.8584602840700948,9.382501510896084
