iso3,area_id,kp,median,lower,upper
BWA,BWA_1_01va,FSW,0.5008533982179133,0.37568675637078786,0.6238569491448955
BWA,BWA_1_02ek,FSW,0.5466259411033788,0.4215638682348934,0.6671809605273917
BWA,BWA_1_03by,FSW,0.4380572197351222,0.2885497721843762,0.5866524176593686
BWA,BWA_1_04im,FSW,0.4773640310634179,0.344199033982788,0.6201439111111366
BWA,BWA_1_05bu,FSW,0.4813643335753074,0.32439666412790025,0.6407696279663105
BWA,BWA_1_06kw,FSW,0.4909494326318476,0.33901195622060976,0.6491442085129595
BWA,BWA_1_07rb,FSW,0.46731186632320937,0.32696337512144824,0.6168001791588352
BWA,BWA_1_08my,FSW,0.46819696852894005,0.3338269992824782,0.5984351063681697
BWA,BWA_1_09vh,FSW,0.4727054706900292,0.3551498987230328,0.6119797724492644
BWA,BWA_1_10je,FSW,0.50086543122145,0.32658597784667703,0.6661705032657222
BWA,BWA_1_01va,PWID,0.28136347197678857,0.12786883554090359,0.4882307988117866
BWA,BWA_1_02ek,PWID,0.2693225353921816,0.12194097971024515,0.4903010545217334
BWA,BWA_1_03by,PWID,0.24866893711753246,0.11111107731423703,0.48853674534807207
BWA,BWA_1_04im,PWID,0.2531143797401314,0.11675589544475344,0.46797524883703295
BWA,BWA_1_05bu,PWID,0.26305425092180384,0.11385506338356574,0.513183413750197
BWA,BWA_1_06kw,PWID,0.26762984495946734,0.11512766867095711,0.4795674011407932
BWA,BWA_1_07rb,PWID,0.28202002050094255,0.09845064687468749,0.5540343222654562
BWA,BWA_1_08my,PWID,0.26785710587328737,0.11862163685814753,0.49427237881698305
BWA,BWA_1_09vh,PWID,0.2479123257447173,0.10949978269392434,0.4598247861079503
BWA,BWA_1_10je,PWID,0.26297099294300424,0.10260811150567128,0.5190636718252934
BWA,BWA_1_01va,MSM,0.14598572254859582,0.07737868768946649,0.24399948144597672
BWA,BWA_1_02ek,MSM,0.16234494996236665,0.08636128261472464,0.27280533540404334
BWA,BWA_1_03by,MSM,0.13516428420574453,0.055079257388196835,0.26588098757522427
BWA,BWA_1_04im,MSM,0.16088994900655443,0.08013640598208353,0.2968579788409737
BWA,BWA_1_05bu,MSM,0.15225420309187795,0.06117560924803902,0.3259277041591019
BWA,BWA_1_06kw,MSM,0.1547345763991141,0.06758882356672634,0.31329459195389325
BWA,BWA_1_07rb,MSM,0.16403176133723174,0.0857053271922383,0.29541596212011384
BWA,BWA_1_08my,MSM,0.14452324129367417,0.07460408952798075,0.26517240058495495
BWA,BWA_1_09vh,MSM,0.13802591761376695,0.07773408251146123,0.24522370521383652
BWA,BWA_1_10je,MSM,0.1562397354889072,0.05795948181665432,0.3619261044382988
BWA,BWA_1_01va,TGW,0.21908997672301772,0.11871330849379425,0.36109931088216307
BWA,BWA_1_02ek,TGW,0.2437070118829981,0.1308406459263364,0.3931263994380586
BWA,BWA_1_03by,TGW,0.20910748073564245,0.09448502366915085,0.39549403652734955
BWA,BWA_1_04im,TGW,0.24749985314369177,0.12482302114348844,0.4312400566189797
BWA,BWA_1_05bu,TGW,0.23336169454537903,0.09633013626534538,0.4539412215948609
BWA,BWA_1_06kw,TGW,0.23627984298697136,0.10390195982834281,0.4455913672272892
BWA,BWA_1_07rb,TGW,0.2441640176744673,0.1291876551730732,0.40723080845753284
BWA,BWA_1_08my,TGW,0.2198392969530043,0.11678554397076261,0.3777125127837712
BWA,BWA_1_09vh,TGW,0.22009410728734707,0.12489895407882369,0.3707047489184533
BWA,BWA_1_10je,TGW,0.2378163397405463,0.0916288424132862,0.5167616350414183
