indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,nosex12m,sexcohab,sexnonreg,sexpaid12m,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y015_049,288,1892,1019.6060913880312,0.3029683571514024,0.01756011434198513,0.2696933002037506,0.3384463077986946
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,1,all,all,all,female,Y015_049,231,674,391.6102853449314,0.22163626191958888,0.02183583622444479,0.1817943006425194,0.2673567858495265
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,0,all,all,female,Y015_049,286,1890,1055.807367790842,0.2681643500695821,0.01522792981086619,0.23938818029343095,0.29903965215927136
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,1,all,all,female,Y015_049,249,676,355.9931673412122,0.31674148834744975,0.02491859101803074,0.27003177716412036,0.36746364396460623
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,0,all,female,Y015_049,285,1393,773.9799319346682,0.2694606196540322,0.01731653958388155,0.2368958401056501,0.30471439387900373
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,1,all,female,Y015_049,281,1173,637.2185544761259,0.292230309108287,0.0200628005673506,0.2545114081849253,0.3330419087800642
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,0,female,Y015_049,289,2532,1388.9736867702836,0.27814440473463337,0.01457781400660929,0.25049207881903407,0.3075965474002976
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,1,female,Y015_049,32,34,22.315892168656255,0.4043433987868229,0.09976652690786272,0.23160509311823932,0.6045524897274743
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,all,all,all,all,female,Y015_049,291,2887,1568.0133547817136,0.2795876626092466,0.01455569960581737,0.25196744884748584,0.30898493093365587
prevalence,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,0,all,all,all,female,Y015_024,225,496,279.61176076994803,0.1565114748579744,0.02458784335188928,0.1141070327772293,0.2109223474066844
