yob,ISO_A3,sex,lambda,skew,shape
1950,MWI_demo,male,0.05586802700922316,0.982017365913072,8.956453851196638
1951,MWI_demo,male,0.05597598907231317,0.982017365913072,8.956453851196638
1952,MWI_demo,male,0.05616874372166063,0.982017365913072,8.956453851196638
1953,MWI_demo,male,0.05618633882011126,0.982017365913072,8.956453851196638
1954,MWI_demo,male,0.0563790607253533,0.982017365913072,8.956453851196638
1955,MWI_demo,male,0.0564346272103189,0.982017365913072,8.956453851196638
1956,MWI_demo,male,0.05674278658344139,0.982017365913072,8.956453851196638
1957,MWI_demo,male,0.05664571982719559,0.982017365913072,8.956453851196638
1958,MWI_demo,male,0.05690556823620221,0.982017365913072,8.956453851196638
1959,MWI_demo,male,0.05684723157064596,0.982017365913072,8.956453851196638
1960,MWI_demo,male,0.05690127605041874,0.982017365913072,8.956453851196638
1961,MWI_demo,male,0.05704602696451839,0.982017365913072,8.956453851196638
1962,MWI_demo,male,0.0570534790343432,0.982017365913072,8.956453851196638
1963,MWI_demo,male,0.05719624486409693,0.982017365913072,8.956453851196638
1964,MWI_demo,male,0.05744900724688893,0.982017365913072,8.956453851196638
1965,MWI_demo,male,0.05728414594587491,0.982017365913072,8.956453851196638
1966,MWI_demo,male,0.05727901199438173,0.982017365913072,8.956453851196638
1967,MWI_demo,male,0.0573799127315978,0.982017365913072,8.956453851196638
1968,MWI_demo,male,0.05739603582142488,0.982017365913072,8.956453851196638
1969,MWI_demo,male,0.0571721415576716,0.982017365913072,8.956453851196638
1970,MWI_demo,male,0.05739052873544389,0.982017365913072,8.956453851196638
1971,MWI_demo,male,0.05685557109313566,0.982017365913072,8.956453851196638
1972,MWI_demo,male,0.05713361561563972,0.982017365913072,8.956453851196638
1973,MWI_demo,male,0.05688668365491288,0.982017365913072,8.956453851196638
1974,MWI_demo,male,0.05670663984602357,0.982017365913072,8.956453851196638
1975,MWI_demo,male,0.05669270915367164,0.982017365913072,8.956453851196638
1976,MWI_demo,male,0.05651586179922507,0.982017365913072,8.956453851196638
1977,MWI_demo,male,0.05633200498177126,0.982017365913072,8.956453851196638
1978,MWI_demo,male,0.05628662021878275,0.982017365913072,8.956453851196638
1979,MWI_demo,male,0.0561621506639005,0.982017365913072,8.956453851196638
1980,MWI_demo,male,0.05619102747898199,0.982017365913072,8.956453851196638
1981,MWI_demo,male,0.05578437190332448,0.982017365913072,8.956453851196638
1982,MWI_demo,male,0.0558146102681752,0.982017365913072,8.956453851196638
1983,MWI_demo,male,0.05566795688419929,0.982017365913072,8.956453851196638
1984,MWI_demo,male,0.05571279511708778,0.982017365913072,8.956453851196638
1985,MWI_demo,male,0.055606105105951,0.982017365913072,8.956453851196638
1986,MWI_demo,male,0.05546144027926065,0.982017365913072,8.956453851196638
1987,MWI_demo,male,0.0552706850704223,0.982017365913072,8.956453851196638
1988,MWI_demo,male,0.05516125751736726,0.982017365913072,8.956453851196638
1989,MWI_demo,male,0.05532505489224595,0.982017365913072,8.956453851196638
1990,MWI_demo,male,0.05520502283657413,0.982017365913072,8.956453851196638
1991,MWI_demo,male,0.05511264103127407,0.982017365913072,8.956453851196638
1992,MWI_demo,male,0.05529704685764757,0.982017365913072,8.956453851196638
1993,MWI_demo,male,0.05525103563945406,0.982017365913072,8.956453851196638
1994,MWI_demo,male,0.05530173873408088,0.982017365913072,8.956453851196638
1995,MWI_demo,male,0.05527046751593287,0.982017365913072,8.956453851196638
1996,MWI_demo,male,0.05505823701527274,0.982017365913072,8.956453851196638
1997,MWI_demo,male,0.05496453235833879,0.982017365913072,8.956453851196638
1998,MWI_demo,male,0.0548986362184917,0.982017365913072,8.956453851196638
1999,MWI_demo,male,0.0546196096685871,0.982017365913072,8.956453851196638
2000,MWI_demo,male,0.05423983026295972,0.982017365913072,8.956453851196638
2001,MWI_demo,male,0.05392310621565156,0.982017365913072,8.956453851196638
2002,MWI_demo,male,0.05362989661263368,0.982017365913072,8.956453851196638
2003,MWI_demo,male,0.05349572492825029,0.982017365913072,8.956453851196638
2004,MWI_demo,male,0.05339586208637553,0.982017365913072,8.956453851196638
2005,MWI_demo,male,0.05326924967576844,0.982017365913072,8.956453851196638
1950,MWI_demo,female,0.06406174036056869,1.1889831625019829,10.967209915982084
1951,MWI_demo,female,0.0640665858044899,1.1889831625019829,10.967209915982084
1952,MWI_demo,female,0.06389862080160022,1.1889831625019829,10.967209915982084
1953,MWI_demo,female,0.063882036407330145,1.1889831625019829,10.967209915982084
1954,MWI_demo,female,0.06368585839749048,1.1889831625019829,10.967209915982084
1955,MWI_demo,female,0.06376051563555535,1.1889831625019829,10.967209915982084
1956,MWI_demo,female,0.06347961990628789,1.1889831625019829,10.967209915982084
1957,MWI_demo,female,0.06365471919305038,1.1889831625019829,10.967209915982084
1958,MWI_demo,female,0.06340892317974556,1.1889831625019829,10.967209915982084
1959,MWI_demo,female,0.06324721782168607,1.1889831625019829,10.967209915982084
1960,MWI_demo,female,0.062993239787116,1.1889831625019829,10.967209915982084
1961,MWI_demo,female,0.0630243343618368,1.1889831625019829,10.967209915982084
1962,MWI_demo,female,0.06301047794095027,1.1889831625019829,10.967209915982084
1963,MWI_demo,female,0.06303924199431163,1.1889831625019829,10.967209915982084
1964,MWI_demo,female,0.06301992512021307,1.1889831625019829,10.967209915982084
1965,MWI_demo,female,0.06297449260818,1.1889831625019829,10.967209915982084
1966,MWI_demo,female,0.06313550378711302,1.1889831625019829,10.967209915982084
1967,MWI_demo,female,0.06305143770200786,1.1889831625019829,10.967209915982084
1968,MWI_demo,female,0.06299624322261946,1.1889831625019829,10.967209915982084
1969,MWI_demo,female,0.0628751577839048,1.1889831625019829,10.967209915982084
1970,MWI_demo,female,0.06266990689835417,1.1889831625019829,10.967209915982084
