iso3,area_id,kp,median,lower,upper,indicator
BEN,BEN_1_2ys,FSW,0.12312901425561452,0.0751287453416096,0.18844645287341297,prevalence
BEN,BEN_1_6yg,FSW,0.11807693450855866,0.0726577539539095,0.18319442238439157,prevalence
BEN,BEN_1_10oz,FSW,0.1147445370447879,0.06998318205111624,0.1839175943810973,prevalence
BEN,BEN_1_12ct,FSW,0.11889643540760989,0.0747662169315984,0.18404317476824344,prevalence
BEN,BEN_1_7ra,FSW,0.14027526795974402,0.08793315749258943,0.2295694996169983,prevalence
BEN,BEN_1_1gz,FSW,0.11308758691451766,0.06857265003693662,0.18379531960300127,prevalence
BEN,BEN_1_9dz,FSW,0.12618575046626265,0.07485383411068583,0.19644907382298976,prevalence
BEN,BEN_1_3xj,FSW,0.15630836983388574,0.09483737880186384,0.26114945044881227,prevalence
BEN,BEN_1_11oz,FSW,0.08634381571906619,0.04536462472535733,0.14786485719634584,prevalence
BEN,BEN_1_8fr,FSW,0.128127336651355,0.08261408824300617,0.19877644251911905,prevalence
BEN,BEN_1_4qu,FSW,0.12320419505101496,0.0758450090729882,0.2034846355681646,prevalence
BEN,BEN_1_5vw,FSW,0.11573504937737088,0.07508164553040994,0.18501179886299915,prevalence
BEN,BEN_1_2ys,PWID,0.03224719664624569,0.01224608477793846,0.07352735568220785,prevalence
BEN,BEN_1_6yg,PWID,0.04096801792801742,0.01992630952659563,0.07831134692725081,prevalence
BEN,BEN_1_10oz,PWID,0.03667297487347786,0.01727699975339463,0.06950547283407228,prevalence
BEN,BEN_1_12ct,PWID,0.03528869785374785,0.01619517608536907,0.06793021464284078,prevalence
BEN,BEN_1_7ra,PWID,0.0326133810913749,0.01416394113345703,0.06584589158817394,prevalence
BEN,BEN_1_1gz,PWID,0.03928774924518186,0.01794951452300285,0.07599656765574826,prevalence
BEN,BEN_1_9dz,PWID,0.03571088280515052,0.0162045951372405,0.07363092638988175,prevalence
BEN,BEN_1_3xj,PWID,0.03751345213176912,0.01535314512656275,0.0852350519365251,prevalence
BEN,BEN_1_11oz,PWID,0.04411327956818195,0.02031899780976655,0.09591081685441134,prevalence
BEN,BEN_1_8fr,PWID,0.03605816311233133,0.0176965029784755,0.06575671429044645,prevalence
BEN,BEN_1_4qu,PWID,0.03232687048044969,0.01299566016461921,0.06859053501944169,prevalence
BEN,BEN_1_5vw,PWID,0.03332558887446418,0.01558287788971469,0.06115235602861432,prevalence
BEN,BEN_1_2ys,MSM,0.0439711709097385,0.01852900178711371,0.10473729643356394,prevalence
BEN,BEN_1_6yg,MSM,0.06527692077095493,0.03102745304995883,0.13503029783185913,prevalence
BEN,BEN_1_10oz,MSM,0.1306901322484565,0.08065358238530755,0.21433804105892496,prevalence
BEN,BEN_1_12ct,MSM,0.06485292238131665,0.03328611550759894,0.12393494948284492,prevalence
BEN,BEN_1_7ra,MSM,0.06812396520710501,0.03191434214663674,0.1290703286480033,prevalence
BEN,BEN_1_1gz,MSM,0.11745090110674485,0.05184080892804849,0.23716017327446015,prevalence
BEN,BEN_1_9dz,MSM,0.05939183159465077,0.02456606370365701,0.13119211308342774,prevalence
BEN,BEN_1_3xj,MSM,0.14065951493134068,0.08629436515233138,0.22420078748293495,prevalence
BEN,BEN_1_11oz,MSM,0.10333200315485662,0.05369647504712399,0.2016193917384664,prevalence
BEN,BEN_1_8fr,MSM,0.11128129708570483,0.06243791379738715,0.19500278825476133,prevalence
BEN,BEN_1_4qu,MSM,0.08375060932169004,0.03448242322275239,0.1870708185460812,prevalence
BEN,BEN_1_5vw,MSM,0.1050894249041298,0.05775241216063539,0.1893213702683964,prevalence
BEN,BEN_1_2ys,TGW,0.07432406327417951,0.02807481524690362,0.17694819205595164,prevalence
BEN,BEN_1_6yg,TGW,0.08325342071850154,0.03818970632224385,0.169855595676523,prevalence
BEN,BEN_1_10oz,TGW,0.1941860168901832,0.11657333854708753,0.2967141387549258,prevalence
BEN,BEN_1_12ct,TGW,0.09582048727517864,0.04862651598315569,0.19347017177015713,prevalence
BEN,BEN_1_7ra,TGW,0.11014980549605888,0.05062748564137813,0.21447496508191696,prevalence
BEN,BEN_1_1gz,TGW,0.15420120142319954,0.07038546259064349,0.30967201022144103,prevalence
BEN,BEN_1_9dz,TGW,0.09190715583142144,0.03742287129319197,0.19887805414678456,prevalence
BEN,BEN_1_3xj,TGW,0.17659036991457644,0.09897229570398634,0.28209151169609814,prevalence
BEN,BEN_1_11oz,TGW,0.14206752476276965,0.07323673749648195,0.27344894898365585,prevalence
BEN,BEN_1_8fr,TGW,0.15794063180927304,0.0927673249922645,0.26767889412905255,prevalence
BEN,BEN_1_4qu,TGW,0.130043535982645,0.05242953569126359,0.274226579153675,prevalence
BEN,BEN_1_5vw,TGW,0.1490313114768134,0.0829935385565279,0.2606182325778635,prevalence
BEN,BEN_1_10oz,FSW,0.01071424004460058,0.00445700353249137,0.02673244627143156,pse_prop
BEN,BEN_1_11oz,FSW,0.00762337883443858,0.00278628727812827,0.02092117217885691,pse_prop
BEN,BEN_1_12ct,FSW,0.00702991273053265,0.00258336702744467,0.01728167696607016,pse_prop
BEN,BEN_1_1gz,FSW,0.00818666595895932,0.00300061897551307,0.01991344801747332,pse_prop
BEN,BEN_1_2ys,FSW,0.00619849846312426,0.00223895764500642,0.0154381375520897,pse_prop
BEN,BEN_1_3xj,FSW,0.01490150517286657,0.00555302081762037,0.04128873246224583,pse_prop
BEN,BEN_1_4qu,FSW,0.00933700566211612,0.00382232602483509,0.02370408060205609,pse_prop
