region,iso3,area_id,kp,indicator,median,lower,upper
WCA,NER,NER_1_1jt,FSW,pse_prop,0.006992494929210086,0.0022524492642790207,0.021290856064998514
WCA,NER,NER_1_2rd,FSW,pse_prop,0.00783615867071663,0.0025673622006452245,0.021464105392569287
WCA,NER,NER_1_3vx,FSW,pse_prop,0.006484114236942472,0.0021426566823028563,0.020477918224339923
WCA,NER,NER_1_4dm,FSW,pse_prop,0.007744771220409253,0.00263828599307051,0.024841454633230526
WCA,NER,NER_1_5jt,FSW,pse_prop,0.01074180077893697,0.0021090369337997865,0.051858047465864684
WCA,NER,NER_1_6fi,FSW,pse_prop,0.006793288764229655,0.0023738662012062735,0.019744978989548065
WCA,NER,NER_1_7ms,FSW,pse_prop,0.006467705365653482,0.0021256385804230143,0.019325791352719366
WCA,NER,NER_1_8sv,FSW,pse_prop,0.007873941547489615,0.0028517256990815767,0.02336015115763415
WCA,NER,NER_1_1jt,MSM,pse_prop,0.00457316302004856,0.0016471232670071682,0.011902751225258391
WCA,NER,NER_1_2rd,MSM,pse_prop,0.0051483267302300205,0.0018897962742435944,0.01311095291988366
WCA,NER,NER_1_3vx,MSM,pse_prop,0.004339774802521833,0.0015400595116255994,0.010856962240886508
WCA,NER,NER_1_4dm,MSM,pse_prop,0.0051873051772977925,0.0020910277335480067,0.012403523592295868
WCA,NER,NER_1_5jt,MSM,pse_prop,0.00646293521446204,0.001434083521430635,0.027246980405525652
WCA,NER,NER_1_6fi,MSM,pse_prop,0.004268097774292294,0.0015798694323140294,0.010616727810092203
WCA,NER,NER_1_7ms,MSM,pse_prop,0.003931624556274426,0.001431914108311982,0.009761643525573165
WCA,NER,NER_1_8sv,MSM,pse_prop,0.005336626832340926,0.0020749386366996,0.012680339175033757
WCA,NER,NER_1_1jt,PWID,pse_prop,0.0024872988483529007,6.258139035011388e-4,0.008990490742522833
WCA,NER,NER_1_2rd,PWID,pse_prop,0.0026957410076546384,7.499232538102728e-4,0.010782711778326378
WCA,NER,NER_1_3vx,PWID,pse_prop,0.002228665542260922,6.054751129340993e-4,0.008285785447673144
WCA,NER,NER_1_4dm,PWID,pse_prop,0.0029064440538941203,7.936633401308339e-4,0.010291435160591037
WCA,NER,NER_1_5jt,PWID,pse_prop,0.003261143051489423,3.903702591019187e-4,0.033970870970288156
WCA,NER,NER_1_6fi,PWID,pse_prop,0.002329769548643476,6.78128396265413e-4,0.008460817601239413
WCA,NER,NER_1_7ms,PWID,pse_prop,0.002207614870019894,6.5026015530407e-4,0.007615510938080241
WCA,NER,NER_1_8sv,PWID,pse_prop,0.002963983283950703,8.934323325864495e-4,0.011336509407843837
WCA,NER,NER_1_1jt,TGW,pse_prop,5.981542740983737e-4,9.883719859674433e-5,0.003422420665886612
WCA,NER,NER_1_2rd,TGW,pse_prop,6.045711373733403e-4,1.0386818404968417e-4,0.0033135580696278433
WCA,NER,NER_1_3vx,TGW,pse_prop,6.551049892025767e-4,1.0307678284882137e-4,0.0036862690838670195
WCA,NER,NER_1_4dm,TGW,pse_prop,7.160288979723907e-4,1.1745643381077073e-4,0.00376833872741499
WCA,NER,NER_1_5jt,TGW,pse_prop,0.001057860664135512,7.727674751617854e-5,0.013430349214312803
WCA,NER,NER_1_6fi,TGW,pse_prop,6.552646589463134e-4,1.152219164833372e-4,0.0037879122562938304
WCA,NER,NER_1_7ms,TGW,pse_prop,6.416959412510708e-4,1.1442804717394663e-4,0.003609859625555979
WCA,NER,NER_1_8sv,TGW,pse_prop,6.87954149786605e-4,1.1228201707553346e-4,0.004008929350248336
