yob,iso3,sex,lambda,skew,shape
1950,BDI,male,0.051158861673685635,0.7172843455762521,8.836272756238545
1951,BDI,male,0.05097019562771887,0.7172843455762521,8.836272756238545
1952,BDI,male,0.05082412439524271,0.7172843455762521,8.836272756238545
1953,BDI,male,0.05048116339569717,0.7172843455762521,8.836272756238545
1954,BDI,male,0.05027044588032828,0.7172843455762521,8.836272756238545
1955,BDI,male,0.04986329199565701,0.7172843455762521,8.836272756238545
1956,BDI,male,0.04967093521439506,0.7172843455762521,8.836272756238545
1957,BDI,male,0.04911453038707593,0.7172843455762521,8.836272756238545
1958,BDI,male,0.04889484199176315,0.7172843455762521,8.836272756238545
1959,BDI,male,0.04834304939100689,0.7172843455762521,8.836272756238545
1960,BDI,male,0.04790810269988277,0.7172843455762521,8.836272756238545
1961,BDI,male,0.04756534406676308,0.7172843455762521,8.836272756238545
1962,BDI,male,0.04716048622833595,0.7172843455762521,8.836272756238545
1963,BDI,male,0.04684924531889157,0.7172843455762521,8.836272756238545
1964,BDI,male,0.046683447209832044,0.7172843455762521,8.836272756238545
1965,BDI,male,0.046226461431562345,0.7172843455762521,8.836272756238545
1966,BDI,male,0.04595979066457341,0.7172843455762521,8.836272756238545
1967,BDI,male,0.04577275736688109,0.7172843455762521,8.836272756238545
1968,BDI,male,0.04558020355421391,0.7172843455762521,8.836272756238545
1969,BDI,male,0.04520949578889657,0.7172843455762521,8.836272756238545
1970,BDI,male,0.04521085579911812,0.7172843455762521,8.836272756238545
1971,BDI,male,0.044692949128647554,0.7172843455762521,8.836272756238545
1972,BDI,male,0.044798588542389786,0.7172843455762521,8.836272756238545
1973,BDI,male,0.044574662325793143,0.7172843455762521,8.836272756238545
1974,BDI,male,0.044390991987986225,0.7172843455762521,8.836272756238545
1975,BDI,male,0.0443808332897144,0.7172843455762521,8.836272756238545
1976,BDI,male,0.04426612802663092,0.7172843455762521,8.836272756238545
1977,BDI,male,0.04413079931201065,0.7172843455762521,8.836272756238545
1978,BDI,male,0.04407679136970486,0.7172843455762521,8.836272756238545
1979,BDI,male,0.04397050823537629,0.7172843455762521,8.836272756238545
1980,BDI,male,0.04398162661905783,0.7172843455762521,8.836272756238545
1981,BDI,male,0.04365405535731255,0.7172843455762521,8.836272756238545
1982,BDI,male,0.04365227320581551,0.7172843455762521,8.836272756238545
1983,BDI,male,0.043507578108806774,0.7172843455762521,8.836272756238545
1984,BDI,male,0.04349322799110216,0.7172843455762521,8.836272756238545
1985,BDI,male,0.043355311457295695,0.7172843455762521,8.836272756238545
1986,BDI,male,0.04317482854994771,0.7172843455762521,8.836272756238545
1987,BDI,male,0.042953771681740124,0.7172843455762521,8.836272756238545
1988,BDI,male,0.042777249508801206,0.7172843455762521,8.836272756238545
1989,BDI,male,0.042782205594216,0.7172843455762521,8.836272756238545
1990,BDI,male,0.04256783153699578,0.7172843455762521,8.836272756238545
1991,BDI,male,0.0423543751310165,0.7172843455762521,8.836272756238545
1992,BDI,male,0.04235193754831858,0.7172843455762521,8.836272756238545
1993,BDI,male,0.042221617600692964,0.7172843455762521,8.836272756238545
1994,BDI,male,0.04219232382772829,0.7172843455762521,8.836272756238545
1995,BDI,male,0.0421722560391434,0.7172843455762521,8.836272756238545
1996,BDI,male,0.04206714828085671,0.7172843455762521,8.836272756238545
1997,BDI,male,0.0420923052168045,0.7172843455762521,8.836272756238545
1998,BDI,male,0.04215327196634611,0.7172843455762521,8.836272756238545
1999,BDI,male,0.04210019389940112,0.7172843455762521,8.836272756238545
2000,BDI,male,0.04195719390996027,0.7172843455762521,8.836272756238545
2001,BDI,male,0.04187572504530877,0.7172843455762521,8.836272756238545
2002,BDI,male,0.04182341523541282,0.7172843455762521,8.836272756238545
2003,BDI,male,0.0418799991006823,0.7172843455762521,8.836272756238545
2004,BDI,male,0.04199843788050503,0.7172843455762521,8.836272756238545
2005,BDI,male,0.042118335562964945,0.7172843455762521,8.836272756238545
1950,BDI,female,0.06016473427158256,2.591887960368112,6.826166242880728
1951,BDI,female,0.060194349444668935,2.591887960368112,6.826166242880728
1952,BDI,female,0.06014287293430776,2.591887960368112,6.826166242880728
1953,BDI,female,0.060068782445639186,2.591887960368112,6.826166242880728
1954,BDI,female,0.0599690618470543,2.591887960368112,6.826166242880728
1955,BDI,female,0.06009357302310704,2.591887960368112,6.826166242880728
1956,BDI,female,0.05987069354815386,2.591887960368112,6.826166242880728
1957,BDI,female,0.06006148987201157,2.591887960368112,6.826166242880728
1958,BDI,female,0.059848324881706744,2.591887960368112,6.826166242880728
1959,BDI,female,0.05974186976507642,2.591887960368112,6.826166242880728
1960,BDI,female,0.059503413600172785,2.591887960368112,6.826166242880728
1961,BDI,female,0.05947994846876917,2.591887960368112,6.826166242880728
1962,BDI,female,0.05938478343244316,2.591887960368112,6.826166242880728
1963,BDI,female,0.059278211527827925,2.591887960368112,6.826166242880728
1964,BDI,female,0.059084059300978015,2.591887960368112,6.826166242880728
1965,BDI,female,0.05888150393998406,2.591887960368112,6.826166242880728
1966,BDI,female,0.05886397291314055,2.591887960368112,6.826166242880728
1967,BDI,female,0.05867382617888306,2.591887960368112,6.826166242880728
1968,BDI,female,0.05854299726688586,2.591887960368112,6.826166242880728
1969,BDI,female,0.058435511090643724,2.591887960368112,6.826166242880728
1970,BDI,female,0.05840554778307609,2.591887960368112,6.826166242880728
1971,BDI,female,0.05830817729587853,2.591887960368112,6.826166242880728
1972,BDI,female,0.05827967661967428,2.591887960368112,6.826166242880728
1973,BDI,female,0.058237902288408805,2.591887960368112,6.826166242880728
1974,BDI,female,0.05829946386031156,2.591887960368112,6.826166242880728
1975,BDI,female,0.05840518900462136,2.591887960368112,6.826166242880728
1976,BDI,female,0.058407588201579486,2.591887960368112,6.826166242880728
1977,BDI,female,0.058539355583642275,2.591887960368112,6.826166242880728
1978,BDI,female,0.05870775476305935,2.591887960368112,6.826166242880728
1979,BDI,female,0.05863455310791996,2.591887960368112,6.826166242880728
1980,BDI,female,0.05877112239934177,2.591887960368112,6.826166242880728
1981,BDI,female,0.05862124432998813,2.591887960368112,6.826166242880728
1982,BDI,female,0.0587430579417863,2.591887960368112,6.826166242880728
1983,BDI,female,0.05884372367569199,2.591887960368112,6.826166242880728
1984,BDI,female,0.05889740032926606,2.591887960368112,6.826166242880728
1985,BDI,female,0.059010975723808146,2.591887960368112,6.826166242880728
1986,BDI,female,0.05895578767486481,2.591887960368112,6.826166242880728
1987,BDI,female,0.058898662431785945,2.591887960368112,6.826166242880728
1988,BDI,female,0.05908745945287673,2.591887960368112,6.826166242880728
1989,BDI,female,0.05881181508449895,2.591887960368112,6.826166242880728
1990,BDI,female,0.05885081058938116,2.591887960368112,6.826166242880728
1991,BDI,female,0.05854308358881521,2.591887960368112,6.826166242880728
1992,BDI,female,0.05842438762048341,2.591887960368112,6.826166242880728
1993,BDI,female,0.05807312924133864,2.591887960368112,6.826166242880728
1994,BDI,female,0.05775779539776837,2.591887960368112,6.826166242880728
1995,BDI,female,0.05757335909866478,2.591887960368112,6.826166242880728
1996,BDI,female,0.05725977011234818,2.591887960368112,6.826166242880728
1997,BDI,female,0.05694358089407413,2.591887960368112,6.826166242880728
1998,BDI,female,0.05661560596657965,2.591887960368112,6.826166242880728
1999,BDI,female,0.05640630094231291,2.591887960368112,6.826166242880728
2000,BDI,female,0.05605233377260703,2.591887960368112,6.826166242880728
2001,BDI,female,0.05575808784732238,2.591887960368112,6.826166242880728
2002,BDI,female,0.05552760732252561,2.591887960368112,6.826166242880728
2003,BDI,female,0.055230848072728,2.591887960368112,6.826166242880728
2004,BDI,female,0.05518689191896639,2.591887960368112,6.826166242880728
2005,BDI,female,0.05514239858421119,2.591887960368112,6.826166242880728
