iso3,area_id,kp,median,lower,upper
ERI,ERI_1_1ly,FSW,0.12628753622742234,0.0444353272845025,0.3123697772876072
ERI,ERI_1_2gb,FSW,0.12185178564877308,0.047216817068269815,0.2887006683875894
ERI,ERI_1_3kp,FSW,0.12452416651554554,0.04792888986881709,0.2761309073739222
ERI,ERI_1_4ef,FSW,0.12207352399813787,0.048329046310846675,0.2878918136795068
ERI,ERI_1_5rw,FSW,0.12362297499126843,0.05338943658326984,0.26635154163294145
ERI,ERI_1_6ik,FSW,0.12255800719496462,0.048260356192396686,0.2849135070834763
ERI,ERI_1_1ly,PWID,0.1359122674753696,0.025378695644100457,0.4575785005645311
ERI,ERI_1_2gb,PWID,0.13631720225467175,0.02520485246890688,0.46569478870690245
ERI,ERI_1_3kp,PWID,0.14038672752839287,0.02574252061284466,0.4635271394402138
ERI,ERI_1_4ef,PWID,0.13802852424260192,0.02534436451231672,0.45675583374288325
ERI,ERI_1_5rw,PWID,0.1350247584630454,0.026874700143236056,0.42283780053913544
ERI,ERI_1_6ik,PWID,0.1331418516538229,0.026669392171420957,0.43164359525734225
ERI,ERI_1_1ly,MSM,0.04118730269178124,0.004479184399258284,0.3172574097419493
ERI,ERI_1_2gb,MSM,0.03980472392236357,0.005113547947052143,0.27467087323494715
ERI,ERI_1_3kp,MSM,0.04044417551740231,0.005030841445662855,0.27503572154742656
ERI,ERI_1_4ef,MSM,0.04082890304182781,0.004948508939338109,0.3043744550214678
ERI,ERI_1_5rw,MSM,0.03885886246124739,0.005971785529338753,0.24606540830882936
ERI,ERI_1_6ik,MSM,0.04024932554590741,0.0051793137393416995,0.2611982806836634
ERI,ERI_1_1ly,TGW,0.0867740187453838,0.008868299545106805,0.4997407320681095
ERI,ERI_1_2gb,TGW,0.08364972476903691,0.008695495613977184,0.48024595964722294
ERI,ERI_1_3kp,TGW,0.08688846104208849,0.009798439722139006,0.49842705518693103
ERI,ERI_1_4ef,TGW,0.08729636294337151,0.009517268144822627,0.4950261876717642
ERI,ERI_1_5rw,TGW,0.08169647234747497,0.009859963419699278,0.4358691020018746
ERI,ERI_1_6ik,TGW,0.08212991326050018,0.009244338787746576,0.49699135234890646
