iso3,area_id,indicator,lower,median,upper
MWI,MWI_1_1,pse_count,3496.150932146832,6860.323347300649,13662.627464015972
MWI,MWI_1_2,pse_count,10773.065419582077,20984.386187361815,37014.65588583924
MWI,MWI_1_3,pse_count,12258.785381174426,23589.692051073092,41853.31235245272
MWI,MWI_1_1,kplhiv,1353.6676985109457,2885.494989079917,6042.809431829255
MWI,MWI_1_2,kplhiv,4474.2527662479815,8855.008888207482,16344.932811452722
MWI,MWI_1_3,kplhiv,5537.502441697779,11332.597577525752,21364.86973444061
MWI,MWI_1_1,kpart,1052.2771127707963,2354.2569665075025,4953.703410504791
MWI,MWI_1_2,kpart,3538.4355247891745,7342.227977439099,13841.350490512206
MWI,MWI_1_3,kpart,4739.849306777442,9672.446670071291,18515.317203415256
MWI,MWI_1_1,pse,0.009729973056688431,0.016151330058848626,0.028253957396092495
MWI,MWI_1_2,pse,0.008886364055618639,0.014373711600335258,0.02305317398686875
MWI,MWI_1_3,pse,0.01042485029322255,0.01601839872400878,0.025397453063806398
MWI,MWI_1_1,prev,0.31559867838258837,0.42307621071117896,0.5541774302429993
MWI,MWI_1_2,prev,0.32151398515983026,0.4219007723426116,0.546482084233434
MWI,MWI_1_3,prev,0.37781110015049396,0.4840828541391275,0.6074625452106267
MWI,MWI_1_1,art_coverage,0.6993729431238415,0.8297840081704821,0.9147189299677366
MWI,MWI_1_2,art_coverage,0.7242445068032218,0.83868179923850406,0.9173565541452093
MWI,MWI_1_3,art_coverage,0.7551198967451802,0.8626682722414931,0.9356204051308543
MWI,MWI_1_1,pse_prop,0.011369145376097487,0.011369145376097487,0.011369145376097487
MWI,MWI_1_2,pse_prop,0.010492546565871348,0.010492546565871348,0.010492546565871348
MWI,MWI_1_3,pse_prop,0.012117382753987972,0.012117382753987972,0.012117382753987972
